-1,-2, 0
0,-2, 0
1,0, 0
1,2, 0
0,2, 0
-1,0, 0
0.240028,-2.22315, 32.7273
1.08128,-1.68251, 32.7273
2.08128,0.317493, 32.7273
1,2, 32.7273
0,2, 32.7273
0,0, 32.7273
1.40385,-1.74046, 65.4545
2.40385,0.259538, 65.4545
2.81926,1.16917, 65.4545
1,2, 65.4545
0,2, 65.4545
0,0, 65.4545
2.12196,-0.705192, 98.1818
3.12196,1.29481, 98.1818
2.97964,2.28463, 98.1818
1.97964,2.28463, 98.1818
0,2, 98.1818
0,0, 98.1818
0,0, 130.909
2.16636,0.553972, 130.909
3.16636,2.55397, 130.909
2.5115,3.30972, 130.909
1.5115,3.30972, 130.909
0,2, 130.909
0,0, 163.636
1.52296,1.63725, 163.636
2.52296,3.63725, 163.636
1.56347,3.91899, 163.636
0.563465,3.91899, 163.636
0,2, 163.636
0,0, 196.364
1,2, 196.364
1.39603,4.20072, 196.364
0.396028,4.20072, 196.364
-0.563465,3.91899, 196.364
-0.563465,1.91899, 196.364
0,0, 229.091
1,2, 229.091
0.143362,4.06547, 229.091
-0.856638,4.06547, 229.091
-1.5115,3.30972, 229.091
-1.5115,1.30972, 229.091
0,0, 261.818
1,2, 261.818
-0.837328,3.27445, 261.818
-1.83733,3.27445, 261.818
-1.97964,2.28463, 261.818
-1.97964,0.28463, 261.818
-1.81926,-0.83083, 294.545
0,0, 294.545
1,2, 294.545
-1.23468,2.0788, 294.545
-2.23468,2.0788, 294.545
-2.23468,0.078802, 294.545
-1.08128,-1.68251, 327.273
0,0, 327.273
1,2, 327.273
0,2, 327.273
-1.92254,0.858134, 327.273
-1.92254,-1.14187, 327.273
-1.43592e-008,-2, 360
1,0, 360
1,2, 360
0,2, 360
-1,7.17959e-009, 360
-1,-2, 360
